IcdIn,IcdCIn,IcdOut1,IcdOut2,IcdOut3,Type,Prompt,Origin,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"I6129",,"I6129",,,"Before","Intracerebral hemorrhage in hemisphere, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I613",,"I6130",,,"USCreated","Intracerebral hemorrhage in brain stem, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I613",,"I6139",,,"USCreated","Intracerebral hemorrhage in brain stem, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6130",,"I6130",,,"Before","Intracerebral hemorrhage in brain stem, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6139",,"I6139",,,"Before","Intracerebral hemorrhage in brain stem, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I614",,"I6140",,,"USCreated","Intracerebral hemorrhage in cerebellum, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I614",,"I6149",,,"USCreated","Intracerebral hemorrhage in cerebellum, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6140",,"I6140",,,"Before","Intracerebral hemorrhage in cerebellum, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6149",,"I6149",,,"Before","Intracerebral hemorrhage in cerebellum, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I615",,"I6150",,,"USCreated","Intracerebral intraventricular hemorrhage, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I615",,"I6159",,,"USCreated","Intracerebral intraventricular hemorrhage, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6150",,"I6150",,,"Before","Intracerebral intraventricular hemorrhage, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6159",,"I6159",,,"Before","Intracerebral intraventricular hemorrhage, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I618",,"I6189",,,"USCreated","Other intracerebral hemorrhage, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I618",,"I6180",,,"USCreated","Other intracerebral hemorrhage, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6180",,"I6180",,,"Before","Other intracerebral hemorrhage, multiple","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6189",,"I6189",,,"Before","Other intracerebral hemorrhage, unspecified","US created codes 2007",1,2010,9999,"2008-12-17 00:00:00","Lars Age",,,"/Created, residue"
"I619",,"I6190",,,"USCreated","Intracerebral hemorrhage, multiple but otherwise unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I619",,"I6199",,,"USCreated","Intracerebral hemorrhage, unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
"I6190",,"I6190",,,"Before","Intracerebral hemorrhage, multiple but otherwise unspecified","US created codes 2007",0,2010,9999,"2005-02-25 00:00:00","Gérard Pavillon",,,"/Created"
