ncicId,Icd,Icd2,InconsistentFor,Sex,SexConsistency,LowerAgeLimit,UpperAgeLimit,AgeConsistency,RareDisease,PromptRare,UnderlyingCauseUse,PromptUc,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
10561,"Z934",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10562,"Z935",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10563,"Z936",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10564,"Z938",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10565,"Z939",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10566,"Z940",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10567,"Z941",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10568,"Z942",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10569,"Z943",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10570,"Z944",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10571,"Z945",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10572,"Z946",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10573,"Z947",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10574,"Z948",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10575,"Z949",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10576,"Z950",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10577,"Z951",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10578,"Z952",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10579,"Z953",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10580,"Z954",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10581,"Z955",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10582,"Z958",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10583,"Z959",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
10584,"Z960",,,"9","9","9999","9999","9","N",,"N",,0,2019,9999,"2018-09-14 00:00:00","Iris",,,
