Icd,Label,Asterisk,AffectedByInterval,AffectedByStatus,NationalExtension,ActionVar,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
"A269","Erysipeloid, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A270","Leptospirosis icterohaemorrhagica",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A278","Other forms of leptospirosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A279","Leptospirosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A280","Pasteurellosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A281","Cat-scratch disease",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A282","Extraintestinal yersiniosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A288","Other specified zoonotic bacterial diseases, not elsewhere classified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A289","Zoonotic bacterial disease, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A300","Indeterminate leprosy",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A301","Tuberculoid leprosy",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A302","Borderline tuberculoid leprosy",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A303","Borderline leprosy",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A304","Borderline lepromatous leprosy",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A305","Lepromatous leprosy",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A308","Other forms of leprosy",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A309","Leprosy, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A310","Pulmonary mycobacterial infection",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A311","Cutaneous mycobacterial infection",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A318","Other mycobacterial infections",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A319","Mycobacterial infection, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A320","Cutaneous listeriosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A321","Listerial meningitis and meningoencephalitis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A327","Listerial sepsis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A328","Other forms of listeriosis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A329","Listeriosis, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A33","Tetanus neonatorum",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A34","Obstetrical tetanus",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A35","Other tetanus",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A360","Pharyngeal diphtheria",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A361","Nasopharyngeal diphtheria",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A362","Laryngeal diphtheria",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A363","Cutaneous diphtheria",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A368","Other diphtheria",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A369","Diphtheria, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A370","Whooping cough due to Bordetella pertussis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A371","Whooping cough due to Bordetella parapertussis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A378","Whooping cough due to other Bordetella species",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A379","Whooping cough, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A38","Scarlet fever",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A390","Meningococcal meningitis",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A391","Waterhouse-Friderichsen syndrome",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A392","Acute meningococcaemia",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A393","Chronic meningococcaemia",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A394","Meningococcaemia, unspecified",0,1,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A395","Meningococcal heart disease",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A398","Other meningococcal infections",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
"A399","Meningococcal infection, unspecified",0,0,1,0,,2010,9999,"2018-09-18 00:00:00","Iris Institute",,,
