ncicId,Icd,Icd2,InconsistentFor,Sex,SexConsistency,LowerAgeLimit,UpperAgeLimit,AgeConsistency,RareDisease,PromptRare,UnderlyingCauseUse,PromptUc,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
136,"A270",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
137,"A278",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
138,"A279",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
139,"A280",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
140,"A281",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
141,"A282",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
142,"A288",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
143,"A289",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
144,"A300",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
145,"A301",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
146,"A302",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
147,"A303",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
148,"A304",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
149,"A305",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
150,"A308",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
151,"A309",,,"9","9",999,999,"9","Y",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
152,"A310",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
153,"A311",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
154,"A318",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
