id,label,code,source
B4E08408FF1B45D2,"Erysipeloid, unspecified",A269,SpecV2021SR40
8D0531A45C0DA4AE,Leptospirosis,A27,SpecV2021SR40
CA182BECC6C1902F,Leptospirosis icterohaemorrhagica,A270,SpecV2021SR40
92A161C764604E70,Other forms of leptospirosis,A278,SpecV2021SR40
9243935A554E4199,"Leptospirosis, unspecified",A279,SpecV2021SR40
9A63F5B51390459A,"Other zoonotic bacterial diseases, not elsewhere classified",A28,SpecV2021SR40
63E6D19AC37E91E0,Pasteurellosis,A280,SpecV2021SR40
E2CF6FFF5FCE576E,Cat-scratch disease,A281,SpecV2021SR40
AAA2E42B94DA8F8C,Extraintestinal yersiniosis,A282,SpecV2021SR40
3852902290A7AB82,"Other specified zoonotic bacterial diseases, not elsewhere classified",A288,SpecV2021SR40
BD6C6E043CA51C6D,"Zoonotic bacterial disease, unspecified",A289,SpecV2021SR40
BD9C789FAEEAE6D6,Leprosy [Hansen disease],A30,SpecV2021SR40
846BC56601E0B558,Indeterminate leprosy,A300,SpecV2021SR40
12DF2366BE1F1DCC,Tuberculoid leprosy,A301,SpecV2021SR40
9C6052FB22330F1E,Borderline tuberculoid leprosy,A302,SpecV2021SR40
4D7A2A8B91F697FA,Borderline leprosy,A303,SpecV2021SR40
C6A13F6082B17F52,Borderline lepromatous leprosy,A304,SpecV2021SR40
26C7DE0735675FEA,Lepromatous leprosy,A305,SpecV2021SR40
7E1572DB54E03824,Other forms of leprosy,A308,SpecV2021SR40
2606A9F82453A909,"Leprosy, unspecified",A309,SpecV2021SR40
7ABCE34BD56E51DE,Infection due to other mycobacteria,A31,SpecV2021SR40
4E98CC870BEBFF8B,Pulmonary mycobacterial infection,A310,SpecV2021SR40
C6A5325BB178A543,Cutaneous mycobacterial infection,A311,SpecV2021SR40
09145F1A61354CA6,Other mycobacterial infections,A318,SpecV2021SR40
C8639C7CAE5D7789,"Mycobacterial infection, unspecified",A319,SpecV2021SR40
92DDA885E05CA6EF,Listeriosis,A32,SpecV2021SR40
506E3683E76AF352,Cutaneous listeriosis,A320,SpecV2021SR40
3D45C84BF2C2F74F,Listerial meningitis and meningoencephalitis,A321,SpecV2021SR40
47EE7E2353F273B4,Listerial sepsis,A327,SpecV2021SR40
2A67A8E70CEA6A34,Other forms of listeriosis,A328,SpecV2021SR40
18E736154F8A9E6D,"Listeriosis, unspecified",A329,SpecV2021SR40
033D493250AFB1CD,Tetanus neonatorum,A33,SpecV2021SR40
48C7960C8D8A4F36,Obstetrical tetanus,A34,SpecV2021SR40
57A7514623791955,Other tetanus,A35,SpecV2021SR40
07C5C8F13806518B,Diphtheria,A36,SpecV2021SR40
F660FA7AF345679D,Pharyngeal diphtheria,A360,SpecV2021SR40
A89ABAAFF9DBEB7F,Nasopharyngeal diphtheria,A361,SpecV2021SR40
901A437918C4900D,Laryngeal diphtheria,A362,SpecV2021SR40
0D7937D05A923786,Cutaneous diphtheria,A363,SpecV2021SR40
663279BC9FE4379D,Other diphtheria,A368,SpecV2021SR40
185A5B92221C50B5,"Diphtheria, unspecified",A369,SpecV2021SR40
9ACD0D6FC37A04C5,Whooping cough,A37,SpecV2021SR40
15F94D8471C64A60,Whooping cough due to Bordetella pertussis,A370,SpecV2021SR40
F53ABA1513F5C414,Whooping cough due to Bordetella parapertussis,A371,SpecV2021SR40
EC1851C5DED6FDF6,Whooping cough due to other Bordetella species,A378,SpecV2021SR40
92F0FB4894455955,"Whooping cough, unspecified",A379,SpecV2021SR40
8CE9258C22B0A2E9,Scarlet fever,A38,SpecV2021SR40
0A89D49F93548240,Meningococcal infection,A39,SpecV2021SR40
D2B2AFB4E37A3A6A,Meningococcal meningitis,A390,SpecV2021SR40
FB85E646ABD26A56,Waterhouse-Friderichsen syndrome,A391,SpecV2021SR40
700DFCE9AF9BC988,Acute meningococcaemia,A392,SpecV2021SR40
E2CAD6611F270B20,Chronic meningococcaemia,A393,SpecV2021SR40
125490B4859763D9,"Meningococcaemia, unspecified",A394,SpecV2021SR40
5118049EB3C26048,Meningococcal heart disease,A395,SpecV2021SR40
2D1A0179290905D4,Other meningococcal infections,A398,SpecV2021SR40
4DEB92A85A2F6A00,"Meningococcal infection, unspecified",A399,SpecV2021SR40
26CAE91F14D73F56,Streptococcal sepsis,A40,SpecV2021SR40
C691B9A21F94FF0B,"Sepsis due to streptococcus, group A",A400,SpecV2021SR40
C7CB229D11DEAEAA,"Sepsis due to streptococcus, group B",A401,SpecV2021SR40
665871605F8E6EE4,Sepsis due to streptococcus group D and enterococcus,A402,SpecV2021SR40
DEAD578158A249A0,Sepsis due to Streptococcus pneumoniae,A403,SpecV2021SR40
1A21667FBA85F4E9,Other streptococcal sepsis,A408,SpecV2021SR40
055DE0D9ABCA7A0F,"Streptococcal sepsis, unspecified",A409,SpecV2021SR40
CECC400B10FAFB3A,Other sepsis,A41,SpecV2021SR40
545AF31A087D065B,Sepsis due to Staphylococcus aureus,A410,SpecV2021SR40
AF333883A75E2C39,Sepsis due to other specified staphylococcus,A411,SpecV2021SR40
9A541E4860D7CD65,Sepsis due to unspecified staphylococcus,A412,SpecV2021SR40
43B40192A16D5504,Sepsis due to Haemophilus influenzae,A413,SpecV2021SR40
5FCB1C4E54185029,Sepsis due to anaerobes,A414,SpecV2021SR40
5A7EFBE737391985,Sepsis due to other Gram-negative organisms,A415,SpecV2021SR40
978FEE2FFF3A0D26,Other specified sepsis,A418,SpecV2021SR40
8D26BDA4613E754F,"Sepsis, unspecified",A419,SpecV2021SR40
5E324C99D015A9A1,Actinomycosis,A42,SpecV2021SR40
8D29E8AD3C3E0E64,Pulmonary actinomycosis,A420,SpecV2021SR40
93C264B8BC4AED45,Abdominal actinomycosis,A421,SpecV2021SR40
1E71514510BB587F,Cervicofacial actinomycosis,A422,SpecV2021SR40
6C7AE71F5C7F8C12,Actinomycotic sepsis,A427,SpecV2021SR40
CBFC7496BD4D863A,Other forms of actinomycosis,A428,SpecV2021SR40
4E2E673A33BCC0D6,"Actinomycosis, unspecified",A429,SpecV2021SR40
F0363F1E3E2C4D2A,Nocardiosis,A43,SpecV2021SR40
71920832D9F5B82F,Pulmonary nocardiosis,A430,SpecV2021SR40
9FAC23392FA27783,Cutaneous nocardiosis,A431,SpecV2021SR40
C7BF7CB5D800CA2F,Other forms of nocardiosis,A438,SpecV2021SR40
62217ED3745046A8,"Nocardiosis, unspecified",A439,SpecV2021SR40
95885510C28D85E5,Bartonellosis,A44,SpecV2021SR40
6B3954199B67A534,Systemic bartonellosis,A440,SpecV2021SR40
0F749D7E88E18AC9,Cutaneous and mucocutaneous bartonellosis,A441,SpecV2021SR40
31304D903E4C2A76,Other forms of bartonellosis,A448,SpecV2021SR40
0286CCDAFB66346A,"Bartonellosis, unspecified",A449,SpecV2021SR40
D561155C5040EC79,Erysipelas,A46,SpecV2021SR40
3F1F02F3455113F4,"Other bacterial diseases, not elsewhere classified",A48,SpecV2021SR40
CF8CFD2F460E21E7,Gas gangrene,A480,SpecV2021SR40
0C97971B73F13A62,Legionnaires disease,A481,SpecV2021SR40
B222F1E90EC89633,Nonpneumonic Legionnaires disease [Pontiac fever],A482,SpecV2021SR40
6574F7552D6B54C6,Toxic shock syndrome,A483,SpecV2021SR40
AAFEC4C71224E9B0,Brazilian purpuric fever,A484,SpecV2021SR40
