id,label,code,chapter_no,chapter_range,chapter_name,subchapter_code,subchapter_name,ncd_cd_injuries,ill_defined
2803fafc-ddeb-4db8-a322-03b61645ab9e,Pneumohydropericardium,I319,IX,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,Noncommunicable diseases,No
11b5454f-24eb-4e95-a6fe-4822ff058e32,Pneumohydrothorax,J948,X,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,Noncommunicable diseases,No
f3d2b979-721c-4a62-93b5-2611fd621c63,Pneumomediastinum,J982,X,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,Noncommunicable diseases,No
df4f8fc9-317c-4d03-abb1-049b4e5438cd,Pneumomycosis,B49,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
c7e1bc84-f377-4794-90bb-575125d2f899,Pneumomycosis infection,B49,I,A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,Communicable diseases,No
ef443370-7228-44f1-98c3-24e8264f163c,Pneumonectomy,Y836,XX,V01-Y98,External causes of morbidity and mortality,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Injuries,No
f4617cd9-0e62-4aa8-8b3b-57b46fa30145,Pneumonia,J189,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
9d3e8ad0-3778-4651-8f43-83ac422db17b,Pneumonia bronchial,J180,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
29e648ce-9099-41f5-8232-716dca311699,Pneumonia H1N1,J09,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
35f2b9c7-d3b7-4dde-916e-142a4420b42a,Pneumonia H1N1 virus,J09,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
fceada77-3cb9-47bd-bcd0-c4786779694c,Pneumonia in mycoses,J172,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
601045bf-1a26-4712-b75c-f752a7908ef1,Pneumonia infection,J189,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
29c8616f-9c99-4bf1-952f-2d93eb394a85,Pneumonia lobar,J181,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
9d5825e3-ca18-481b-8d18-ede614255cfc,Pneumonia lung,J189,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
0bb60787-6ad8-4e09-bbac-cb8b1dbf195f,Pneumonia pneumococcal,J13,X,J00-J99,Diseases of the respiratory system,J09-J18,Influenza and pneumonia,,No
