code;label;terminal;underlyingCauseUse;usCreated;nonCreatedCode
A400;Sepsis due to streptococcus, group A;1;1;0;
A401;Sepsis due to streptococcus, group B;1;1;0;
A402;Sepsis due to streptococcus group D and enterococcus;1;1;0;
A403;Sepsis due to Streptococcus pneumoniae;1;1;0;
A408;Other streptococcal sepsis;1;1;0;
A409;Streptococcal sepsis, unspecified;1;1;0;
A41;Other sepsis;0;0;0;
A410;Sepsis due to Staphylococcus aureus;1;1;0;
A411;Sepsis due to other specified staphylococcus;1;1;0;
A412;Sepsis due to unspecified staphylococcus;1;1;0;
A413;Sepsis due to Haemophilus influenzae;1;1;0;
A414;Sepsis due to anaerobes;1;1;0;
A415;Sepsis due to other Gram-negative organisms;1;1;0;
A418;Other specified sepsis;1;1;0;
A419;Sepsis, unspecified;1;1;0;
A42;Actinomycosis;0;0;0;
A420;Pulmonary actinomycosis;1;1;0;
A421;Abdominal actinomycosis;1;1;0;
A422;Cervicofacial actinomycosis;1;1;0;
A427;Actinomycotic sepsis;1;1;0;
A428;Other forms of actinomycosis;1;1;0;
A429;Actinomycosis, unspecified;1;1;0;
A43;Nocardiosis;0;0;0;
A430;Pulmonary nocardiosis;1;1;0;
A431;Cutaneous nocardiosis;1;1;0;
A438;Other forms of nocardiosis;1;1;0;
A439;Nocardiosis, unspecified;1;1;0;
A44;Bartonellosis;0;0;0;
A440;Systemic bartonellosis;1;1;0;
A441;Cutaneous and mucocutaneous bartonellosis;1;1;0;
A448;Other forms of bartonellosis;1;1;0;
A449;Bartonellosis, unspecified;1;1;0;
A46;Erysipelas;1;1;0;
A48;Other bacterial diseases, not elsewhere classified;0;0;0;
A480;Gas gangrene;1;1;0;
A481;Legionnaires disease;1;1;0;
A482;Nonpneumonic Legionnaires disease [Pontiac fever];1;1;0;
A483;Toxic shock syndrome;1;1;0;
A484;Brazilian purpuric fever;1;1;0;
A488;Other specified bacterial diseases;1;1;0;
A49;Bacterial infection of unspecified site;0;0;0;
A490;Staphylococcal infection, unspecified site;1;1;0;
A491;Streptococcal infection, unspecified site;1;1;0;
A492;Haemophilus influenzae infection, unspecified site;1;1;0;
A493;Mycoplasma infection, unspecified site;1;1;0;
A498;Other bacterial infections of unspecified site;1;1;0;
A499;Bacterial infection, unspecified;1;1;0;
A50;Congenital syphilis;0;0;0;
A500;Early congenital syphilis, symptomatic;1;1;0;
A501;Early congenital syphilis, latent;1;1;0;
A502;Early congenital syphilis, unspecified;1;1;0;
A503;Late congenital syphilitic oculopathy;1;1;0;
A504;Late congenital neurosyphilis [juvenile neurosyphilis];1;1;0;
A505;Other late congenital syphilis, symptomatic;1;1;0;
A506;Late congenital syphilis, latent;1;1;0;
A507;Late congenital syphilis, unspecified;1;1;0;
A509;Congenital syphilis, unspecified;1;1;0;
A51;Early syphilis;0;0;0;
A510;Primary genital syphilis;1;1;0;
A511;Primary anal syphilis;1;1;0;
A512;Primary syphilis of other sites;1;1;0;
A513;Secondary syphilis of skin and mucous membranes;1;1;0;
A514;Other secondary syphilis;1;1;0;
A515;Early syphilis, latent;1;1;0;
A519;Early syphilis, unspecified;1;1;0;
A52;Late syphilis;0;0;0;
A520;Cardiovascular syphilis;1;1;0;
A521;Symptomatic neurosyphilis;1;1;0;
A522;Asymptomatic neurosyphilis;1;1;0;
A523;Neurosyphilis, unspecified;1;1;0;
A527;Other symptomatic late syphilis;1;1;0;
A528;Late syphilis, latent;1;1;0;
A529;Late syphilis, unspecified;1;1;0;
A53;Other and unspecified syphilis;0;0;0;
A530;Latent syphilis, unspecified as early or late;1;1;0;
A539;Syphilis, unspecified;1;1;0;
A54;Gonococcal infection;0;0;0;
A540;Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess;1;1;0;
A541;Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess;1;1;0;
A542;Gonococcal pelviperitonitis and other gonococcal genitourinary infections;1;1;0;
A543;Gonococcal infection of eye;1;1;0;
A544;Gonococcal infection of musculoskeletal system;1;1;0;
A545;Gonococcal pharyngitis;1;1;0;
A546;Gonococcal infection of anus and rectum;1;1;0;
A548;Other gonococcal infections;1;1;0;
A549;Gonococcal infection, unspecified;1;1;0;
A55;Chlamydial lymphogranuloma (venereum);1;1;0;
A56;Other sexually transmitted chlamydial diseases;0;0;0;
A560;Chlamydial infection of lower genitourinary tract;1;1;0;
A561;Chlamydial infection of pelviperitoneum and other genitourinary organs;1;1;0;
A562;Chlamydial infection of genitourinary tract, unspecified;1;1;0;
A563;Chlamydial infection of anus and rectum;1;1;0;
A564;Chlamydial infection of pharynx;1;1;0;
A568;Sexually transmitted chlamydial infection of other sites;1;1;0;
A57;Chancroid;1;1;0;
A58;Granuloma inguinale;1;1;0;
A59;Trichomoniasis;0;0;0;
A590;Urogenital trichomoniasis;1;1;0;
A598;Trichomoniasis of other sites;1;1;0;
A599;Trichomoniasis, unspecified;1;1;0;
A60;Anogenital herpesviral [herpes simplex] infection;0;0;0;
